song,artist,album_name,album_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,id,uri,uri,track_href,time_signature,song,artist,album_name,album_id,duration_ms,duration_ms,explicit,popularity
Sure Thing,Miguel,All I Want Is You,493HYe7N5pleudEZRyhE7R,0.684,0.607,11,-8.127,0,0.1,0.0267,0.000307,0.191,0.498,81.001,0JXXNGljqupsJaZsgSbMZV,0JXXNGljqupsJaZsgSbMZV,spotify:track:0JXXNGljqupsJaZsgSbMZV,spotify:track:0JXXNGljqupsJaZsgSbMZV,https://api.spotify.com/v1/tracks/0JXXNGljqupsJaZsgSbMZV,4,Sure Thing,Miguel,All I Want Is You,493HYe7N5pleudEZRyhE7R,195373,195373,False,91
Adorn,Miguel,Kaleidoscope Dream,21XMv0TCsnhWPt7MNVvkzD,0.625,0.576,11,-5.693,0,0.175,0.0543,4.07e-05,0.187,0.235,179.063,25cUhiAod71TIQSNicOaW3,25cUhiAod71TIQSNicOaW3,spotify:track:25cUhiAod71TIQSNicOaW3,spotify:track:25cUhiAod71TIQSNicOaW3,https://api.spotify.com/v1/tracks/25cUhiAod71TIQSNicOaW3,4,Adorn,Miguel,Kaleidoscope Dream,21XMv0TCsnhWPt7MNVvkzD,193147,193146,False,69
Girl With The Tattoo Enter.lewd,Miguel,All I Want Is You,493HYe7N5pleudEZRyhE7R,0.372,0.239,6,-11.314,0,0.0296,0.856,0.000175,0.168,0.127,113.451,1eUGmzzvahJjOSWgDHuRlv,1eUGmzzvahJjOSWgDHuRlv,spotify:track:1eUGmzzvahJjOSWgDHuRlv,spotify:track:1eUGmzzvahJjOSWgDHuRlv,https://api.spotify.com/v1/tracks/1eUGmzzvahJjOSWgDHuRlv,4,Girl With The Tattoo Enter.lewd,Miguel,All I Want Is You,493HYe7N5pleudEZRyhE7R,102813,102813,False,81
coffee,Miguel,Wildheart (Deluxe Version),6W8ZsoinSMViZMh9aYK7gQ,0.556,0.618,10,-7.471,0,0.0463,0.00558,0.000351,0.153,0.121,80.985,6vMpPxLV0F5Diwcs6awI1Z,6vMpPxLV0F5Diwcs6awI1Z,spotify:track:6vMpPxLV0F5Diwcs6awI1Z,spotify:track:6vMpPxLV0F5Diwcs6awI1Z,https://api.spotify.com/v1/tracks/6vMpPxLV0F5Diwcs6awI1Z,4,coffee,Miguel,Wildheart (Deluxe Version),6W8ZsoinSMViZMh9aYK7gQ,286573,286573,True,60
Power Trip (feat. Miguel),J. Cole,Born Sinner (Deluxe Version),5FP9keIJnlSCKnkdVOf623,0.667,0.608,1,-7.054,1,0.216,0.324,0.000198,0.426,0.475,99.992,2uwnP6tZVVmTovzX5ELooy,2uwnP6tZVVmTovzX5ELooy,spotify:track:2uwnP6tZVVmTovzX5ELooy,spotify:track:2uwnP6tZVVmTovzX5ELooy,https://api.spotify.com/v1/tracks/2uwnP6tZVVmTovzX5ELooy,4,Power Trip (feat. Miguel),J. Cole,Born Sinner (Deluxe Version),5FP9keIJnlSCKnkdVOf623,241160,241160,True,77
All I Want Is You (feat. J. Cole),Miguel,All I Want Is You,493HYe7N5pleudEZRyhE7R,0.776,0.603,5,-5.696,1,0.0343,0.0728,6.25e-05,0.111,0.921,96.888,5VA4Ispp52EA1sOqzMz3Av,5VA4Ispp52EA1sOqzMz3Av,spotify:track:5VA4Ispp52EA1sOqzMz3Av,spotify:track:5VA4Ispp52EA1sOqzMz3Av,https://api.spotify.com/v1/tracks/5VA4Ispp52EA1sOqzMz3Av,4,All I Want Is You (feat. J. Cole),Miguel,All I Want Is You,493HYe7N5pleudEZRyhE7R,295920,295920,False,74
Quickie,Miguel,All I Want Is You,493HYe7N5pleudEZRyhE7R,0.372,0.641,9,-4.819,0,0.149,0.216,0.0,0.114,0.647,67.82,4isk4UYRcmslphcTq61xUg,4isk4UYRcmslphcTq61xUg,spotify:track:4isk4UYRcmslphcTq61xUg,spotify:track:4isk4UYRcmslphcTq61xUg,https://api.spotify.com/v1/tracks/4isk4UYRcmslphcTq61xUg,4,Quickie,Miguel,All I Want Is You,493HYe7N5pleudEZRyhE7R,226360,226360,False,55
Weekend (feat. Miguel),Mac Miller,GO:OD AM,2Tyx5dLhHYkx6zeAdVaTzN,0.843,0.435,8,-8.442,1,0.178,0.47,0.0,0.147,0.19,120.058,6GnhWMhgJb7uyiiPEiEkDA,6GnhWMhgJb7uyiiPEiEkDA,spotify:track:6GnhWMhgJb7uyiiPEiEkDA,spotify:track:6GnhWMhgJb7uyiiPEiEkDA,https://api.spotify.com/v1/tracks/6GnhWMhgJb7uyiiPEiEkDA,4,Weekend (feat. Miguel),Mac Miller,GO:OD AM,2Tyx5dLhHYkx6zeAdVaTzN,208080,208080,True,76
Sure Thing - Sped Up,Miguel,Sure Thing (Sped Up),0IrjdFRneYtHj0CwmAphDT,0.753,0.458,4,-12.52,0,0.123,0.0812,0.00413,0.209,0.662,105.057,559SdaPI7mqy9IQiscuaMj,559SdaPI7mqy9IQiscuaMj,spotify:track:559SdaPI7mqy9IQiscuaMj,spotify:track:559SdaPI7mqy9IQiscuaMj,https://api.spotify.com/v1/tracks/559SdaPI7mqy9IQiscuaMj,4,Sure Thing - Sped Up,Miguel,Sure Thing (Sped Up),0IrjdFRneYtHj0CwmAphDT,150054,150053,False,84
Simple Things (Remix) (feat. Chris Brown & Future),Miguel,Simple Things (Remix) (feat. Chris Brown & Future),2bq4H1LLMuCqg7RZejDFOW,0.435,0.561,8,-9.308,1,0.143,0.29,1.55e-06,0.197,0.231,80.209,4z8c9qkpiYghn6DCQ6yA0u,4z8c9qkpiYghn6DCQ6yA0u,spotify:track:4z8c9qkpiYghn6DCQ6yA0u,spotify:track:4z8c9qkpiYghn6DCQ6yA0u,https://api.spotify.com/v1/tracks/4z8c9qkpiYghn6DCQ6yA0u,4,Simple Things (Remix) (feat. Chris Brown & Future),Miguel,Simple Things (Remix) (feat. Chris Brown & Future),2bq4H1LLMuCqg7RZejDFOW,237798,237797,True,53
