song,artist,album_name,album_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,id,uri,uri,track_href,time_signature,song,artist,album_name,album_id,duration_ms,duration_ms,explicit,popularity
novocaine,GenriX,"unfortunately yours,",1fm7CNqCCdnqOoxdb23VTs,0.608,0.311,4.0,-11.255,0.0,0.154,0.592,0.0,0.174,0.426,180.362,2OrucC3HEPmZpkaQ05Nx0V,2OrucC3HEPmZpkaQ05Nx0V,spotify:track:2OrucC3HEPmZpkaQ05Nx0V,spotify:track:2OrucC3HEPmZpkaQ05Nx0V,https://api.spotify.com/v1/tracks/2OrucC3HEPmZpkaQ05Nx0V,4.0,novocaine,GenriX,"unfortunately yours,",1fm7CNqCCdnqOoxdb23VTs,195605.0,195605,False,75
Coral,Ananta,Coral,5grMDQYAvISPlK48mzcv5U,0.279,0.206,5.0,-23.779,1.0,0.0398,0.793,0.929,0.111,0.0392,69.645,7jHyMwv86JfAoBgALjZbwM,7jHyMwv86JfAoBgALjZbwM,spotify:track:7jHyMwv86JfAoBgALjZbwM,spotify:track:7jHyMwv86JfAoBgALjZbwM,https://api.spotify.com/v1/tracks/7jHyMwv86JfAoBgALjZbwM,4.0,Coral,Ananta,Coral,5grMDQYAvISPlK48mzcv5U,106286.0,106285,False,45
Losing Interest,itssvd,Missing,23HhTqTaQNZ22OhnRtgrLu,0.753,0.355,8.0,-13.295,0.0,0.0898,0.48,0.87,0.122,0.506,111.863,55XrFge2dEZwYzNl128DwN,55XrFge2dEZwYzNl128DwN,spotify:track:55XrFge2dEZwYzNl128DwN,spotify:track:55XrFge2dEZwYzNl128DwN,https://api.spotify.com/v1/tracks/55XrFge2dEZwYzNl128DwN,4.0,Losing Interest,itssvd,Missing,23HhTqTaQNZ22OhnRtgrLu,120547.0,120546,False,74
novocaine - Slowed,GenriX,"unfortunately yours,",1fm7CNqCCdnqOoxdb23VTs,0.712,0.292,2.0,-12.877,0.0,0.0799,0.702,0.0,0.154,0.444,80.176,18iFlSasCfqzXfmhXmSakE,18iFlSasCfqzXfmhXmSakE,spotify:track:18iFlSasCfqzXfmhXmSakE,spotify:track:18iFlSasCfqzXfmhXmSakE,https://api.spotify.com/v1/tracks/18iFlSasCfqzXfmhXmSakE,4.0,novocaine - Slowed,GenriX,"unfortunately yours,",1fm7CNqCCdnqOoxdb23VTs,219781.0,219781,False,50
Padre Nuestro Tu Que Estas,Coral Católica,Cantoral Católico Rito de paz,5rPpwgEPJy4s5EyD9CcJMi,0.528,0.569,0.0,-8.403,1.0,0.0274,0.134,1.24e-05,0.146,0.85,180.071,6iAdR03YbPYtf3ovrYJv6A,6iAdR03YbPYtf3ovrYJv6A,spotify:track:6iAdR03YbPYtf3ovrYJv6A,spotify:track:6iAdR03YbPYtf3ovrYJv6A,https://api.spotify.com/v1/tracks/6iAdR03YbPYtf3ovrYJv6A,4.0,Padre Nuestro Tu Que Estas,Coral Católica,Cantoral Católico Rito de paz,5rPpwgEPJy4s5EyD9CcJMi,141787.0,141787,False,44
Hesitation,CORBAL,Shiloh's Avenue,5NN987v65KhoiDqkcPrfKv,0.717,0.165,3.0,-21.81,0.0,0.0726,0.938,0.012,0.13,0.535,80.275,5sqNqbyVJ8RF2E1qeX4sw9,5sqNqbyVJ8RF2E1qeX4sw9,spotify:track:5sqNqbyVJ8RF2E1qeX4sw9,spotify:track:5sqNqbyVJ8RF2E1qeX4sw9,https://api.spotify.com/v1/tracks/5sqNqbyVJ8RF2E1qeX4sw9,4.0,Hesitation,CORBAL,Shiloh's Avenue,5NN987v65KhoiDqkcPrfKv,123567.0,123566,False,72
The Coral Route,Lanu,Her 12 Faces,2m0sBd85iLlPGx6WjCWC2d,0.572,0.64,10.0,-6.405,1.0,0.0277,0.0529,0.898,0.348,0.444,169.989,7DzkCNbXyrfWQaOyFFlqXm,7DzkCNbXyrfWQaOyFFlqXm,spotify:track:7DzkCNbXyrfWQaOyFFlqXm,spotify:track:7DzkCNbXyrfWQaOyFFlqXm,https://api.spotify.com/v1/tracks/7DzkCNbXyrfWQaOyFFlqXm,4.0,The Coral Route,Lanu,Her 12 Faces,2m0sBd85iLlPGx6WjCWC2d,274387.0,274386,False,33
Dance with Me,CORBAL,Love Is the Same as Sadness,4JcORch57yBGLItxgest7E,0.593,0.275,6.0,-15.25,0.0,0.0638,0.816,0.0115,0.108,0.363,114.82,55rn9bs7vZBsEK4Y4URraH,55rn9bs7vZBsEK4Y4URraH,spotify:track:55rn9bs7vZBsEK4Y4URraH,spotify:track:55rn9bs7vZBsEK4Y4URraH,https://api.spotify.com/v1/tracks/55rn9bs7vZBsEK4Y4URraH,4.0,Dance with Me,CORBAL,Love Is the Same as Sadness,4JcORch57yBGLItxgest7E,87411.0,87411,False,69
Coral,softy,Coral,7dP9HEbc8SWDfjgmMM2NG2,0.349,0.275,7.0,-10.687,0.0,0.119,0.923,0.872,0.0827,0.408,153.469,5dZ1PSFEkdURTyVVgT8Id3,5dZ1PSFEkdURTyVVgT8Id3,spotify:track:5dZ1PSFEkdURTyVVgT8Id3,spotify:track:5dZ1PSFEkdURTyVVgT8Id3,https://api.spotify.com/v1/tracks/5dZ1PSFEkdURTyVVgT8Id3,4.0,Coral,softy,Coral,7dP9HEbc8SWDfjgmMM2NG2,189964.0,189963,False,42
i don't feel part of the world anymore,itssvd,tape for when i'm sad,1EeYJrmjXcqx5PCZWu6WV1,0.546,0.179,1.0,-19.623,0.0,0.23,0.611,0.00211,0.107,0.272,95.037,11iiMB7TmFTtaXT4YJAltw,11iiMB7TmFTtaXT4YJAltw,spotify:track:11iiMB7TmFTtaXT4YJAltw,spotify:track:11iiMB7TmFTtaXT4YJAltw,https://api.spotify.com/v1/tracks/11iiMB7TmFTtaXT4YJAltw,4.0,i don't feel part of the world anymore,itssvd,tape for when i'm sad,1EeYJrmjXcqx5PCZWu6WV1,84177.0,84176,False,68
Coral,Mwuah,Coral,7hIWp2pPbMvTSQw7btmWWz,0.68,0.541,4.0,-6.911,0.0,0.066,0.279,0.949,0.0995,0.0951,85.041,55RpiZ4sQaEEbcGAOukL3S,55RpiZ4sQaEEbcGAOukL3S,spotify:track:55RpiZ4sQaEEbcGAOukL3S,spotify:track:55RpiZ4sQaEEbcGAOukL3S,https://api.spotify.com/v1/tracks/55RpiZ4sQaEEbcGAOukL3S,4.0,Coral,Mwuah,Coral,7hIWp2pPbMvTSQw7btmWWz,153522.0,153522,False,38
Hesitations - Acoustic,LRN Slime,17,7jnbLDJi3YQbUY5a45AkdT,0.906,0.242,0.0,-10.634,0.0,0.0938,0.836,0.00381,0.0996,0.429,125.006,2ssA3XhNmqLz1qeORv6Z0N,2ssA3XhNmqLz1qeORv6Z0N,spotify:track:2ssA3XhNmqLz1qeORv6Z0N,spotify:track:2ssA3XhNmqLz1qeORv6Z0N,https://api.spotify.com/v1/tracks/2ssA3XhNmqLz1qeORv6Z0N,4.0,Hesitations - Acoustic,LRN Slime,17,7jnbLDJi3YQbUY5a45AkdT,239141.0,239140,False,65
